Date,Title,ppc_Title,Tokens,Stop_tokens,Sentiment_Word,Pos_Word,Neg_Word,Zero_Word,Score
2023-11-06,"[2023, 재계는] 네이버 이해진, AI 글로벌 경쟁 시험대...카카오 김범수, 창사...",네이버 이해진  AI 글로벌 경쟁 시험대   카카오 김범수  창사,"['네이버', '이해진', '글로벌', '경쟁', '시험대', '카카오', '김범수', '창사']",이해진 글로벌 경쟁 시험대 카카오 김범수 창사,"글로벌, 경쟁, 카카오, 김범수",,경쟁,"이해진, 글로벌, 시험대, 카카오, 김범수, 창사",-1
2023-11-06,"개미들 환호…""다음 타자는 여행·게임株""",개미들 환호  다음 타자는 여행 게임株,"['개미', '환호', '다음', '타자', '여행', '게임']",개미 환호 다음 타자 여행 게임,"개미, 다음, 게임",,,"개미, 환호, 다음, 타자, 여행, 게임",0
2023-11-07,네이버가 ‘숏폼’에 힘준다는데 어떻게 만들지?…“여기서 배우세요”,네이버가  숏폼 에 힘준다는데 어떻게 만들지   여기서 배우세요,"['네이버', '숏', '폼']",숏 폼,,,,"숏, 폼",0
2023-11-07,"[단독]네이버 이해진, 尹 순방 동행타진… 여권 반대로 무산",네이버 이해진  尹 순방 동행타진  여권 반대로 무산,"['네이버', '이해진', '순방', '동행', '타진', '여권', '반대', '무산']",이해진 순방 동행 타진 여권 반대 무산,"반대, 무산",,"반대, 무산","이해진, 순방, 동행, 타진, 여권",-2
2023-11-07,과기부 장관이 판깔아 줬더니..네이버·카카오 상생안 빛났다,과기부 장관이 판깔아 줬더니  네이버 카카오 상생안 빛났다,"['과', '기부', '장관', '판', '네이버', '카카오', '상생']",기부 장관 판 카카오 상생,"기부, 카카오, 상생","기부, 상생",,"장관, 판, 카카오",2
2023-11-07,"NH투자 ""내년 네이버·카카오 실적 성장 예상…비중 확대""",NH투자  내년 네이버 카카오 실적 성장 예상 비중 확대,"['투자', '내년', '네이버', '카카오', '실적', '성장', '예상', '비중', '확대']",투자 내년 카카오 실적 성장 예상 비중 확대,"투자, 내년, 카카오, 실적, 성장, 예상, 비중, 확대","투자, 성장, 확대",,"내년, 카카오, 실적, 예상, 비중",3
2023-11-07,이종호 장관 발언 경청하는 유봉석 네이버 총괄,이종호 장관 발언 경청하는 유봉석 네이버 총괄,"['이종호', '장관', '발언', '경청', '유봉', '석', '네이버', '총괄']",이종호 장관 발언 경청 유봉 석 총괄,,,,"이종호, 장관, 발언, 경청, 유봉, 석, 총괄",0
2023-11-07,"코그넷나인·네이버 클라우드, 하이퍼클로바X B2B 사업 협력 맞손",코그넷나인 네이버 클라우드  하이퍼클로바X B2B 사업 협력 맞손,"['코그넷나', '네이버', '클라우드', '하이퍼클로바X', '사업', '협력']",코그넷나 클라우드 하이퍼클로바X 사업 협력,"클라우드, 사업, 협력",협력,,"코그넷나, 클라우드, 하이퍼클로바X, 사업",1
2023-11-07,"엔비티, 네이버웹툰 글로벌 서비스 '라인웹툰'과 제휴",엔비티  네이버웹툰 글로벌 서비스  라인웹툰 과 제휴,"['엔비티', '네이버웹툰', '글로벌', '서비스', '라인', '웹툰', '과', '제휴']",엔비티 네이버웹툰 글로벌 서비스 라인 웹툰 제휴,"글로벌, 서비스, 제휴",제휴,,"엔비티, 네이버웹툰, 글로벌, 서비스, 라인, 웹툰",1
2023-11-07,네이버 톡담회 OTT로 확장...'정신병동에도 아침이 와요' 5만 넘게 참여,네이버 톡담회 OTT로 확장    정신병동에도 아침이 와요  5만 넘게 참여,"['네이버', '담', '확장', '정신', '병동', '아침', '참여']",담 확장 정신 병동 아침 참여,"확장, 정신, 아침, 참여","확장, 참여",,"담, 정신, 병동, 아침",2
